group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Drama,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,11400,"LoneStar, director: John Sayles",11000,23202,407,68,173,9688212.309,25114537.69,7.6
Drama,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,13591,"ForcefromNavarone, director: Guy Hamilton",11000,13587,82,22,80,17079619.79,24253060.11,6.3
Comedy Drama,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,12691,"AnnieHall, director: Woody Allen",11000,192940,11000,154,491,14100934.1,134845205.8,8.1
Comedy Drama,http://www.imdb.com/title/tt0380817/?ref_=fn_tt_tt_1,20009,"WinterPassing, director: Adam Rapp",11000,7228,9,50,53,4949310.659,152003.229,6.4
Drama,http://www.imdb.com/title/tt0783238/?ref_=fn_tt_tt_1,11860,"TheDeadGirl, director: Karen Moncrieff",11000,12304,22,85,73,4666492.907,28105.0141,6.7
Drama,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,12250,"ThirteenConversationsAboutOneThing, director: Jill Sprecher",11000,8603,11,79,115,4811901.338,5272937.625,7.1
Animation,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,12359,"TheBraveLittleToaster, director: Jerry Rees",11000,19650,115,17,62,5917234.146,0,7.3
Comedy,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,11192,"Sleeper, director: Woody Allen",11000,33335,11000,66,128,7997176.414,73353017.04,7.3
Comedy Drama,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,11700,"Bananas, director: Woody Allen",11000,27646,11000,40,105,8517184.814,0,7.1
Thriller Drama,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,13583,"SharkLake, director: Jerry Dugan",11000,838,3,18,17,2130048,0,3.4
Thriller Drama,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,12157,"TheConversation, director: Francis Ford Coppola",11000,74651,0,149,313,6199361.562,17125736.31,7.9
Drama,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,12385,"AlltheRealGirls, director: David Gordon Green",11000,9233,234,88,126,1554231.698,854308.3207,6.9
Drama,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,12234,"PaloAlto, director: Gia Coppola",11000,19752,71,117,61,1099104.768,843817.9017,6.3
Comedy Drama,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,14954,"AmericanGraffiti, director: George Lucas",11000,63839,0,100,238,3106903.037,459837643.8,7.5
Comedy Drama,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1,11839,"JohnnySuede, director: Tom DiCillo",11000,3013,32,10,24,1134075.933,124748.3526,5.8
Mixed,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,12572,"MeninBlack, director: Barry Sonnenfeld",10000,268154,188,451,341,251673185.6,209556970.3,6.8
Comedy,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,15870,"WildWildWest, director: Barry Sonnenfeld",10000,129601,188,85,648,308512382.7,200631210.4,4.8
Comedy,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,11287,"SuicideSquad, director: David Ayer",10000,118992,452,418,971,180600000,335503255.7,6.9
Adventure Action,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,12652,"EdgeofTomorrow, director: Doug Liman",10000,431620,218,585,741,195640648.7,110137173.8,7.9
Adventure Action,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,14363,"DawnofthePlanetoftheApes, director: Matt Reeves",10000,317542,198,521,620,186847810.6,229213451.2,7.6
Drama,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,21584,"Hancock, director: Peter Berg",10000,343648,532,318,590,199162942.8,302656338.2,6.4
Adventure Action,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,21840,"MissionImpossibleRogueNation, director: Christopher McQuarrie",10000,232187,188,465,440,159753600,207724812.5,7.4
Adventure Action,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,21768,"MissionImpossibleGhostProtocol, director: Brad Bird",10000,365104,663,432,512,175164537.2,252959219.1,7.4
Drama,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,11945,"TheLastSamurai, director: Edward Zwick",10000,317166,380,190,928,217592437.8,172691577.7,7.7
Adventure Action,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,12758,"WaroftheWorlds, director: Steven Spielberg",10000,334345,14000,401,2741,192632827.2,341894598.1,6.5
Comedy,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,12954,"BadBoysII, director: Michael Bay",10000,178126,0,94,511,202050120.8,215324611.7,6.6
Adventure Action,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,14168,"AfterEarth, director: M. Night Shyamalan",10000,158720,0,349,744,147455895.7,68648769.39,4.9
Action,http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1,11036,"HarryPotterandtheDeathlyHallowsPartII, director: Matt Birch",10000,381,0,1,2,151003911.4,460273474.8,7.5
Comedy Family,http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1,14719,"HarryPotterandtheDeathlyHallowsPartI, director: Matt Birch",10000,252,0,4,2,155836036.5,368998921.1,6.4
Adventure Action,http://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1,12175,"TheBourneLegacy, director: Tony Gilroy",10000,229823,209,436,504,146321619.6,132513388.8,6.7
Action,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,14161,"RoboCop, director: Josíë© Padilha",10000,182899,294,492,630,131892572.2,64415240.83,6.2
Comedy,http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1,12731,"KnightandDay, director: James Mangold",10000,148280,446,283,348,145862530.2,95275703,6.3
Drama,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,14196,"Ali, director: Michael Mann",10000,79186,0,174,386,180427052.6,96311573.32,6.8
Thriller Drama,http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1,12068,"IRobot, director: Alex Proyas",10000,387632,295,225,789,158134039.1,218075910.7,7.1
Thriller Drama,http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1,12546,"MinorityReport, director: Steven Spielberg",10000,399651,14000,252,1331,163604645.5,211763299.3,7.7
Mixed,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,12998,"MeninBlack, director: Barry Sonnenfeld",10000,403014,188,175,289,251673185.6,209556970.3,7.3
Thriller Drama,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,14165,"Valkyrie, director: Bryan Singer",10000,183247,0,269,440,119497765.7,110306743.7,7.1
Thriller Drama,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,11951,"EnemyoftheState, director: Tony Scott",10000,188116,12000,81,415,154644035.5,202947256.4,7.3
Adventure Action,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,12760,"MissionImpossible, director: Brian De Palma",10000,300542,0,154,378,204991616.4,367976844.5,7.1
Adventure Action,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,16785,"IndependenceDay, director: Roland Emmerich",10000,430055,776,185,856,145323184.6,593246549,6.9
Adventure Action,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,14486,"SWAT, director: Clark Johnson",10000,119807,69,144,340,108796218.9,181654866.1,6
Thriller Drama,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,11458,"VanillaSky, director: Cameron Crowe",10000,206776,488,153,1248,115870584.2,166547176.8,6.9
Thriller Drama,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,11424,"EyesWideShut, director: Stanley Kubrick",10000,227071,0,280,1500,114590313.6,98179584.44,7.3
Comedy Drama,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,11943,"Focus, director: Glenn Ficarra",10000,149337,43,279,221,69226560,57365348.31,6.6
Drama,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,14006,"DaysofThunder, director: Tony Scott",10000,60476,12000,60,97,140443963.5,193510090.1,5.9
Thriller Drama,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,13581,"Collateral, director: Michael Mann",10000,293662,0,299,836,90362308.04,150860102.2,7.6
Thriller Drama,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,16385,"JackReacher, director: Christopher McQuarrie",10000,226570,188,387,448,70234377.39,93728638.16,7
Animation,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,13597,"ParaNorman, director: Chris Butler",10000,72287,28,328,176,70234377.39,65555656.98,7
Comedy,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,12258,"YearOne, director: Harold Ramis",10000,76770,11000,170,203,77194939.06,55756976.86,4.9
Adventure Action,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,12940,"Superman, director: Richard Donner",10000,126357,503,169,497,187875817.7,458478543.4,7.3
Comedy Drama,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,13426,"Hitch, director: Andy Tennant",10000,244840,72,171,372,80263678.01,259447606.5,6.6
Drama,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,11036,"ThePursuitofHappyness, director: Gabriele Muccino",10000,338383,125,201,611,77774881.79,229911086,8
Drama,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,14727,"SevenPounds, director: Gabriele Muccino",10000,232710,125,202,599,71698659.4,92878740.81,7.7
Comedy Drama,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,12182,"JerryMaguire, director: Cameron Crowe",10000,189923,488,109,318,96882123.09,298305079.4,7.3
Action,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,11946,"HanselGretelWitchHunters, director: Tommy Wirkola",10000,159868,75,349,304,56713806.03,63183121.53,6.1
Drama,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,15569,"GIJane, director: Ridley Scott",10000,60326,0,97,142,93878026.25,90440505.83,5.8
Thriller Drama,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,17211,"EasternPromises, director: David Cronenberg",10000,189249,0,356,398,68512052.32,23542474.53,7.7
Drama,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,15820,"TheScarletLetter, director: Roland Joffíë©",10000,12037,596,34,90,99982351.03,20714355.48,5.1
Thriller Drama,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,14244,"TheFirm, director: Sydney Pollack",10000,88844,521,56,142,89446226.88,337214175,6.8
Horror,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,15369,"RedRidingHood, director: Catherine Hardwicke",10000,91151,308,291,283,50737314.22,45497070.18,5.4
Drama,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,10555,"TheSocialNetwork, director: David Fincher",10000,479453,21000,556,696,49867531.69,120882255.4,7.7
Horror,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,10469,"TheIslandofDrMoreau, director: John Frankenheimer",10000,26051,287,70,164,77505698.47,53639198.23,4.4
Thriller Drama,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,14296,"TheTown, director: Ben Affleck",10000,280228,0,378,420,46127466.82,114927533.6,7.6
Comedy Drama,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,13396,"WhattoExpectWhenYoureExpecting, director: Kirk Jones",10000,57266,52,170,89,43896485.87,48171655.93,5.7
Drama,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,13371,"Concussion, director: Peter Landesman",10000,44788,15,219,138,37275840,36777229.84,7.1
Thriller Drama,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,14619,"AFewGoodMen, director: Rob Reiner",10000,181879,0,81,319,72528111.97,310640492.6,7.6
Thriller Drama,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,12754,"AHistoryofViolence, director: David Cronenberg",10000,186606,0,441,1125,46698867.2,45960123.23,7.5
Thriller Drama,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,10910,"Criminal, director: Ariel Vromen",10000,17319,34,130,100,32508000,15179374.27,6.3
Thriller Drama,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,11799,"TheNextThreeDays, director: Paul Haggis",10000,146364,549,239,237,37400648.77,26365775.6,7.4
Drama,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,20563,"NorthCountry, director: Niki Caro",10000,32815,51,155,214,43780188,26741291.99,7.3
Adventure Fantasy,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,11769,"TheImaginariumofDoctorParnassus, director: Terry Gilliam",10000,126307,0,292,210,38597469.53,9893312.396,6.8
Comedy Drama,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,13159,"PitchPerfect, director: Elizabeth Banks",10000,97697,0,221,185,30885696,195735877.8,6.5
Drama,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,12285,"RainMan, director: Barry Levinson",10000,383784,272,100,331,62323413.24,430842840.1,8
Thriller Drama,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,11431,"StrawDogs, director: Rod Lurie",10000,27117,37,190,140,30200782.28,12472247.79,5.8
Drama,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,23566,"TheRoad, director: John Hillcoat",10000,177401,214,355,504,32164557.94,10439676.3,7.3
Thriller Drama,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,11013,"BadBoys, director: Michael Bay",10000,172405,0,63,203,45991881.47,131271653.8,6.8
Thriller Drama,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,12338,"Copycat, director: Jon Amiel",10000,42315,36,57,140,39992940.41,64092520.34,6.6
Drama,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,10507,"Appaloosa, director: Ed Harris",10000,50198,0,190,202,26555059.04,26835738.05,6.8
Comedy Drama,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,10691,"LovetheCoopers, director: Jessie Nelson",10000,9051,24,97,68,19170432,28013039.78,5.7
Comedy Drama,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,12676,"PitchPerfect, director: Jason Moore",10000,213898,36,223,250,30885696,195735877.8,7.2
Horror,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,12183,"TheUnborn, director: David S. Goyer",10000,42182,687,178,230,20585317.08,54898995,4.8
Drama,http://www.imdb.com/title/tt1951181/?ref_=fn_tt_tt_1,11019,"TheImmigrant, director: James Gray",10000,20616,115,230,70,17585676.29,2212999.09,6.6
Drama,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,11091,"Good, director: Vicente Amorim",10000,5664,6,67,42,21244047.23,41998.15362,6.2
Drama,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,13069,"TopGun, director: Tony Scott",10000,219171,12000,173,388,39825558.52,477377290.4,6.9
Horror,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,11471,"WeeksLater, director: Juan Carlos Fresnadillo",10000,212167,35,274,713,20553615.7,39242218.23,7
Thriller Drama,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,11114,"TheHurtLocker, director: Kathryn Bigelow",10000,332065,0,388,876,19298734.77,21894814.72,7.6
Drama,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,12867,"NeverLetMeGo, director: Mark Romanek",10000,109873,132,328,320,18700324.39,3035252.144,7.2
Drama,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,12098,"BornontheFourthofJuly, director: Oliver Stone",10000,76842,0,72,173,33818906.41,169098633.8,7.2
Horror,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,14159,"MyBloodyValentine, director: Patrick Lussier",10000,45603,71,264,268,18012152.45,66318110.39,5.5
Drama,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,10368,"AWalkontheMoon, director: Tony Goldwyn",10000,6782,956,47,114,24680990.62,8359781.189,6.6
Drama,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,11895,"TheColorofMoney, director: Martin Scorsese",10000,57831,17000,59,115,26550372.34,138839862.1,7
Drama,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,12097,"TheOutsiders, director: Francis Ford Coppola",10000,57363,0,60,308,29181640.84,74989950.51,7.2
Thriller Drama,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,13160,"RomeoIsBleeding, director: Peter Medak",10000,10735,34,30,88,20636357.25,6759614.227,6.6
Drama,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,15835,"Melancholia, director: Lars von Trier",10000,128729,3000,439,551,11355494.14,3661359.222,7.1
Comedy,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,11770,"WildTarget, director: Jonathan Lynn",10000,29994,36,68,86,9973506.339,136310.4045,6.9
Comedy Family,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,11059,"LosinIt, director: Curtis Hanson",10000,3114,161,7,16,20427148.58,3636443.909,4.8
Thriller Drama,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,13180,"TheEast, director: Zal Batmanglij",10000,41856,129,200,119,7372794.784,2580080.043,6.9
Horror,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,11771,"TheLazarusEffect, director: David Gelb",10000,28513,26,152,126,5325120,27479291.29,5.2
Thriller Drama,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,12897,"KilltheMessenger, director: Michael Cuesta",10000,32382,52,163,99,5495523.84,2693736.524,7
Thriller Drama,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,13718,"AlbinoAlligator, director: Kevin Spacey",10000,6632,18000,37,69,9387802.625,663680.0944,6.1
Comedy Drama,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,11703,"DrivingLessons, director: Jeremy Brock",10000,9611,16,64,70,6646217.171,339327.567,6.8
Horror,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,11083,"Prison, director: Renny Harlin",10000,2705,212,68,38,9971746.118,884254.5588,5.9
Drama,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,11459,"Basquiat, director: Julian Schnabel",10000,15885,232,42,78,5812927.386,5739395.792,6.9
Drama,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,11184,"TheDiaryofaTeenageGirl, director: Marielle Heller",10000,16645,22,168,72,2130048,1573042.578,6.9
Comedy Drama,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,10869,"TheLastFiveYears, director: Richard LaGravenese",10000,6223,98,81,40,2130048,156876.9702,5.9
Adventure Action,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,15707,"TheLegendofHellsGateAnAmericanConspiracy, director: Tanner Beard",10000,583,531,2,14,2341145.913,0,4.4
Drama,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,10570,"AStreetcarNamedDesire, director: Elia Kazan",10000,78454,603,94,233,14392376.99,63966119.96,8
Horror,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,11257,"TheWickedWithin, director: Jay Alaimo",10000,742,2,9,7,1361131.345,0,4.6
Comedy Family,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,11466,"DocHollidaysRevenge, director: David DeCoteau",10000,93,142,1,6,1099104.768,0,3.8
Drama,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,11094,"OntheWaterfront, director: Elia Kazan",10000,100890,603,134,281,6620066.037,69838059.29,8.2
Comedy Drama,http://www.imdb.com/title/tt2265398/?ref_=fn_tt_tt_1,20480,"DrinkingBuddies, director: Joe Swanberg",10000,45928,217,155,106,567138.0603,389857.5083,6.1
Comedy Drama,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,12496,"ConversationswithOtherWomen, director: Hans Canosa",10000,10143,3,365,54,636339.9419,536530.7291,7.1
Comedy Drama,http://www.imdb.com/title/tt2955096/?ref_=fn_tt_tt_1,11642,"HappyChristmas, director: Joe Swanberg",10000,5507,217,65,23,76937.33376,33316.06373,5.6
Adventure Action,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,10731,"MightyJoeYoung, director: Ron Underwood",9000,22955,31,35,88,145547327.5,92116970.91,5.6
Animation,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,13403,"TheTaleofDespereaux, director: Sam Fell",9000,31209,18,118,106,79665177.11,67552279.46,6.1
Adventure Action,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,10838,"ReindeerGames, director: John Frankenheimer",9000,31113,287,126,212,61497484.93,39906365.4,5.7
Thriller Drama,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,11433,"TheYards, director: James Gray",9000,16215,115,93,138,34165269.4,1507901.248,6.4
Thriller Drama,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,10982,"Regression, director: Alejandro Ameníëíbar",9000,20821,448,140,62,21300480,58617.85594,5.7
Comedy Drama,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,10575,"YoungAdult, director: Jason Reitman",9000,64682,655,325,203,14496375.49,19704888.17,6.3
Thriller Drama,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,11736,"Monster, director: Patty Jenkins",9000,105568,260,185,533,7771158.491,53573138.8,7.3
Comedy,http://www.imdb.com/title/tt0457400/?ref_=fn_tt_tt_1,10552,"LandoftheLost, director: Brad Silberling",8000,52029,52,167,224,128658231.8,63606532.66,5.4
Comedy Drama,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,9271,"TheCampaign, director: Jay Roach",8000,106790,116,255,177,111204430.9,101731857.2,6.2
Adventure Fantasy,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,14024,"PercyJacksontheOlympiansTheLightningThief, director: Chris Columbus",8000,141179,0,217,419,118435387.8,110666404.1,5.9
Adventure Fantasy,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,10882,"PercyJacksonSeaofMonsters, director: Thor Freudenthal",8000,86627,87,183,204,102084850.9,77765464.94,5.9
Adventure Fantasy,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,11454,"MirrorMirror, director: Tarsem Singh",8000,70838,763,382,208,99498701.3,76011350.41,5.6
Thriller Drama,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,8355,"ConspiracyTheory, director: Richard Donner",8000,76099,503,80,162,150204842,142918010.8,6.7
Comedy,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,12410,"TalladegaNightsTheBalladofRickyBobby, director: Adam McKay",8000,130776,285,164,437,103228479.5,209586870.5,6.6
Comedy Drama,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,12790,"RunawayBride, director: Garry Marshall",8000,74274,0,103,255,123404953.1,268419010.8,5.5
Comedy Drama,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,11264,"StepBrothers, director: Adam McKay",8000,212499,285,173,277,86303941.87,133397736.5,6.9
Drama,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,12850,"MonaLisaSmile, director: Mike Newell",8000,61490,179,141,264,101025060.4,99164800.47,6.4
Comedy Drama,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,13232,"BladesofGlory, director: Josh Gordon",8000,129995,8,191,246,83584703.83,162503117.5,6.3
Comedy,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,10623,"Duplicity, director: Tony Gilroy",8000,41727,209,211,184,77194939.06,52200279.22,6.2
Comedy Drama,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,10026,"SemiPro, director: Kent Alterman",8000,67005,3,164,119,73026412.35,44452767.85,5.8
Drama,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,10003,"ErinBrockovich, director: Steven Soderbergh",8000,135246,0,169,498,85413173.51,214470232.3,7.3
Comedy Drama,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,9988,"Stepmom, director: Chris Columbus",8000,46482,0,65,252,90967079.7,165810539.3,6.7
Comedy Family,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,10886,"DaddysHome, director: Sean Anders",8000,54010,51,145,130,53251200,160133959.5,6.1
Animation,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,11124,"CuriousGeorge, director: Matthew O'Callaghan",8000,12845,5,87,118,70704437.99,82922333.15,6.6
Thriller Drama,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,8349,"MaryReilly, director: Stephen Frears",8000,11913,350,46,97,91069195.71,11058307.67,5.8
Comedy Drama,http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1,12344,"MyBestFriendsWedding, director: P.J. Hogan",8000,98199,29,84,169,86367784.15,238099370.1,6.3
Comedy Drama,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,9176,"AmericasSweethearts, director: Joe Roth",8000,47573,148,142,343,76143526.77,154948225.1,5.7
Comedy Drama,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,9255,"NottingHill, director: Roger Michell",8000,203269,50,150,602,74042971.85,204657732.4,7
Comedy Drama,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,12556,"GetHard, director: Etan Cohen",8000,85629,164,173,144,42600960,96290367.32,6
Thriller Drama,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,10938,"TheNumber, director: Joel Schumacher",8000,164608,541,224,383,43847713.48,48223121.97,6.4
Comedy Drama,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,8362,"StrangerThanFiction, director: Marc Forster",8000,186977,395,253,529,42422662.79,57178947.68,7.6
Thriller Drama,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,10894,"MoneyMonster, director: Jodie Foster",8000,19611,0,268,103,27864000,42324461.4,6.7
Horror,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,10493,"Flatliners, director: Joel Schumacher",8000,62037,541,49,148,60859050.84,143506000,6.6
Comedy Drama,http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1,10325,"OldSchool, director: Todd Phillips",8000,185258,480,123,404,37301560.76,116808283.3,7.2
Comedy Drama,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,11632,"JayandSilentBobStrikeBack, director: Kevin Smith",8000,128593,0,181,867,36416469.33,49757123.1,6.9
Comedy Drama,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,9578,"TheDescendants, director: Alexander Payne",8000,205284,729,549,439,24160625.82,99813538.31,7.3
Thriller Drama,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,9941,"SecretinTheirEyes, director: Billy Ray",8000,20186,53,155,81,21300480,21492349.4,6.2
Comedy Drama,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,10557,"AustinPowersInternationalManofMystery, director: Jay Roach",8000,183425,116,129,425,33796089.45,101170450.7,7
Comedy Drama,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,9271,"ANightattheRoxbury, director: John Fortenberry",8000,48458,12,63,239,30928807.1,55182750.08,6.2
Comedy,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,11078,"DrowningMona, director: Nick Gomez",8000,11768,22,84,148,27332215.52,26353708.54,5.6
